comparator,endpoint,seed,real,comparison,difference
cross_seed,qed_mean,6104,0.6891664670025358,0.6919901206303052,-0.0028236536277693736
cross_seed,qed_mean,6105,0.6947411061650631,0.6674063286928723,0.02733477747219082
cross_seed,qed_mean,6106,0.685778534895141,0.6845322630305212,0.0012462718646197857
cross_seed,qed_mean,6107,0.6907990917071107,0.6879522011647244,0.0028468905423862934
cross_seed,qed_mean,6108,0.6808478481541865,0.6716168651915245,0.009230982962662004
cross_seed,qed_mean,6109,0.6812521675048414,0.6830669761325192,-0.0018148086276777997
cross_seed,qed_mean,6110,0.6841000856211618,0.6804524353617074,0.003647650259454349
cross_seed,mw_target_score_mean,6101,0.9370229007633588,0.9439847231063018,-0.006961822342942958
cross_seed,mw_target_score_mean,6102,0.9407874015748031,0.9455523899968344,-0.004764988422031324
cross_seed,mw_target_score_mean,6103,0.9378172588832487,0.9375792141951838,0.0002380446880649867
cross_seed,mw_target_score_mean,6104,0.941808981657179,0.9389433723505219,0.0028656093066570243
cross_seed,mw_target_score_mean,6105,0.9362373737373737,0.9389433723505219,-0.0027059986131482416
cross_seed,mw_target_score_mean,6106,0.9394995248653786,0.9425943545829368,-0.003094829717558256
cross_seed,mw_target_score_mean,6107,0.9335022165927802,0.9301143583227446,0.0033878582700356263
cross_seed,mw_target_score_mean,6108,0.9384663931839697,0.9275960622419815,0.010870330941988193
cross_seed,mw_target_score_mean,6109,0.9367651731808071,0.929818990155605,0.006946183025202113
cross_seed,mw_target_score_mean,6110,0.9267749124482649,0.934156378600823,-0.0073814661525580805
cross_seed,validity,6101,0.9825,0.981875,0.0006249999999999867
cross_seed,validity,6102,0.9921875,0.9871875,0.0050000000000000044
cross_seed,validity,6103,0.985,0.98625,-0.0012499999999999734
cross_seed,validity,6104,0.988125,0.9878125,0.00031250000000004885
cross_seed,validity,6105,0.99,0.9878125,0.002187500000000009
cross_seed,validity,6106,0.9865625,0.9853125,0.0012499999999999734
cross_seed,validity,6107,0.986875,0.98375,0.0031249999999999334
cross_seed,validity,6108,0.9903125,0.9840625,0.006250000000000089
cross_seed,validity,6109,0.9834375,0.9840625,-0.0006249999999999867
cross_seed,validity,6110,0.9815625,0.9871875,-0.005624999999999991
cross_seed,uniqueness,6101,1.0,1.0,0.0
cross_seed,uniqueness,6102,0.9996850393700787,1.0,-0.0003149606299213126
cross_seed,uniqueness,6103,0.9996827411167513,1.0,-0.00031725888324873885
cross_seed,uniqueness,6104,0.9996837444655281,1.0,-0.0003162555344718987
cross_seed,uniqueness,6105,0.9990530303030303,0.9993672888326479,-0.0003142585296176392
cross_seed,uniqueness,6106,0.9993664871713652,1.0,-0.0006335128286347746
cross_seed,uniqueness,6107,1.0,1.0,0.0
cross_seed,uniqueness,6108,1.0,0.9996824388694824,0.00031756113051761847
cross_seed,uniqueness,6109,1.0,0.9996824388694824,0.00031756113051761847
cross_seed,uniqueness,6110,1.0,1.0,0.0
cross_seed,scaffold_diversity,6101,0.9484732824427481,0.9439847231063018,0.004488559336446318
cross_seed,scaffold_diversity,6102,0.9508661417322835,0.9423868312757202,0.00847931045656325
cross_seed,scaffold_diversity,6103,0.9486040609137056,0.9445500633713562,0.0040539975423494745
cross_seed,scaffold_diversity,6104,0.9408602150537635,0.9547611515343246,-0.013900936480561121
cross_seed,scaffold_diversity,6105,0.9431818181818182,0.9534957291996203,-0.010313911017802102
cross_seed,scaffold_diversity,6106,0.9436173582515046,0.9410085632730733,0.0026087949784313613
cross_seed,scaffold_diversity,6107,0.9528182393920203,0.9415501905972046,0.011268048794815688
cross_seed,scaffold_diversity,6108,0.9608709372041654,0.9587170530327088,0.002153884171456566
cross_seed,scaffold_diversity,6109,0.9510645058786146,0.9393458240711337,0.011718681807480924
cross_seed,scaffold_diversity,6110,0.9458771092008914,0.956315289648623,-0.010438180447731593
frozen_equal,svm_activity_mean,6101,0.32280043607506087,0.30532392917853735,0.017476506896523525
frozen_equal,svm_activity_mean,6102,0.300773742295454,0.3081718832856439,-0.007398140990189872
frozen_equal,svm_activity_mean,6103,0.29880716574861604,0.29107632085123847,0.007730844897377576
frozen_equal,svm_activity_mean,6104,0.30555026107993755,0.32548739287255796,-0.01993713179262041
frozen_equal,svm_activity_mean,6105,0.31110538772441787,0.3131618647475147,-0.0020564770230968032
frozen_equal,svm_activity_mean,6106,0.2988025093501646,0.2966905522656683,0.0021119570844962965
frozen_equal,svm_activity_mean,6107,0.3196181123627447,0.326851324313406,-0.007233211950661345
